name,artists_names,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
Bodies,Drowning Pool,75,2001-01-01,0.656,0.932,4.0,-3.405,0.0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4,63,alternative metal,1796062,energetic
Cloud 9,Beach Bunny,75,2020-02-14,0.637,0.929,4.0,-3.593,1.0,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4,69,bubblegrunge,1117731,happy
Obsesion,Aventura,75,2002-06-01,0.804,0.56,1.0,-6.912,0.0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720,4,78,bachata,7036647,calm
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,75,1997-08-12,0.731,0.853,10.0,-4.219,0.0,0.0363,0.0352,0.0,0.268,0.605,108.016,225360,4,76,boy band,5092372,energetic
Wild as Her,Corey Kent,75,2022-03-04,0.504,0.736,0.0,-6.079,1.0,0.0352,0.00216,0.0,0.129,0.46,148.014,199733,4,63,contemporary country,55253,sad
Paris,Taylor Swift,75,2022-10-22,0.7,0.509,7.0,-10.547,1.0,0.0789,0.112,3.27e-05,0.137,0.345,110.947,196259,4,100,pop,71194980,sad
Life Goes On,Lil Baby,75,2018-05-18,0.716,0.541,1.0,-7.909,1.0,0.149,0.0021,0.0,0.115,0.387,139.978,247055,4,90,atl hip hop,13597923,calm
Before I Forget,Slipknot,75,2004,0.291,0.974,6.0,-2.997,0.0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,278600,4,80,alternative metal,9414836,energetic
This Is The Life,Amy Macdonald,75,2007-01-01,0.628,0.882,1.0,-5.024,0.0,0.0323,0.259,0.0,0.065,0.853,95.083,184413,4,64,scottish singer-songwriter,450763,happy
Norman fucking Rockwell,Lana Del Rey,75,2019-08-30,0.215,0.203,5.0,-12.65,1.0,0.0346,0.968,0.0585,0.0923,0.143,78.287,248934,1,92,art pop,22394347,sad
Fire On Fire,Sam Smith,75,2020-10-30,0.584,0.408,1.0,-7.356,0.0,0.0461,0.476,0.0,0.18,0.333,115.129,246735,4,88,pop,22222730,sad
Collard Greens,ScHoolboy Q,75,2014-01-01,0.825,0.575,11.0,-4.87,1.0,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,4,74,gangster rap,4447153,calm
Say It,Tory Lanez,75,2016-08-19,0.546,0.529,11.0,-10.511,0.0,0.0583,0.0862,6.5e-06,0.124,0.247,107.331,237787,4,82,canadian hip hop,5338300,sad
Coração Amoleceu,Mc Don Juan,75,2022-09-16,0.7,0.359,3.0,-9.785,0.0,0.208,0.375,0.0,0.153,0.879,85.621,161366,4,78,arrocha,5031423,calm
Wonderful Tonight,Eric Clapton,75,1977-11-01,0.572,0.214,7.0,-15.625,1.0,0.0293,0.649,0.129,0.125,0.485,95.542,225027,4,73,blues rock,5299158,sad
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",75,1985,0.749,0.497,10.0,-12.609,0.0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4,64,smooth jazz,291392,calm
Live Your Life,T.I.,75,2008-09-07,0.375,0.862,11.0,-3.363,0.0,0.255,0.071,0.0,0.211,0.478,159.841,338853,4,75,atl hip hop,4532961,energetic
Perdóname,La Factoria,75,2006-12-04,0.67,0.821,9.0,-5.868,0.0,0.0334,0.251,0.0,0.199,0.384,94.983,242390,4,65,latin hip hop,331999,energetic
Papercut,Linkin Park,75,2000-10-24,0.524,0.939,9.0,-3.994,1.0,0.113,0.00022,0.0,0.623,0.661,150.184,184867,4,87,alternative metal,23069480,energetic
Side To Side,Ariana Grande,75,2016-04-01,0.65,0.736,6.0,-5.84,0.0,0.229,0.0513,0.0,0.235,0.612,159.174,226160,4,91,dance pop,89209352,energetic
Gostosinha é Ela,Felipe Amorim,75,2022-07-25,0.942,0.85,11.0,-1.821,0.0,0.0909,0.345,8.25e-05,0.382,0.963,119.989,138000,4,74,arrocha,571497,happy
