track_uri,name,artists_names,song_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
open.spotify.com/track/73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,89,2022-08-05,0.587,0.742,6.0,-6.64,0.0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,4,81,alternative hip hop,2238718,energetic
open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,89,2013-04-19,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,85,modern alternative rock,12085017,energetic
open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,88,2018-03-30,0.323,0.737,10.0,-4.008,1.0,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4,98,canadian contemporary r&b,62165751,energetic
open.spotify.com/track/2K9kZpwD2CzTa6iiSYYOoO,Leão,Marília Mendonça,88,2022-12-09,0.743,0.865,6.0,-3.897,1.0,0.0315,0.449,3.05e-06,0.297,0.794,129.999,166775,4,84,arrocha,29903066,happy
open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,88,2023-01-13,0.783,0.729,6.0,-3.549,0.0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148,4,83,latin hip hop,6769778,energetic
open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,88,2023-01-31,0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,163855,4,93,contemporary country,5428604,happy
open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,88,2022-05-20,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,90,pop,26880130,happy
open.spotify.com/track/0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,88,2023-02-05,0.686,0.897,11.0,-7.18,0.0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139,4,88,melodic rap,14848663,happy
open.spotify.com/track/6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,88,2022-07-15,0.74,0.697,8.0,-4.912,1.0,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4,80,dance pop,5207818,happy
open.spotify.com/track/55ZATsjPlTeSTNJOuW90pW,Shorty Party,Cartel De Santa,88,2023-03-04,0.928,0.468,2.0,-8.196,1.0,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000,4,82,latin hip hop,13838960,calm
open.spotify.com/track/5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),j-hope,88,2023-03-03,0.681,0.821,11.0,-5.12,0.0,0.131,0.532,0.00111,0.0921,0.813,94.074,214701,4,78,k-pop,14209566,happy
open.spotify.com/track/2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid,88,2022-09-14,0.865,0.573,5.0,-5.501,1.0,0.0678,0.0863,0.0,0.305,0.563,94.999,155960,4,93,colombian pop,4443557,happy
open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,88,2017-05-05,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,76,alt z,2796322,energetic
open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,INTERWORLD,88,2021-11-25,0.593,0.641,7.0,-12.727,0.0,0.0992,0.426,0.901,0.122,0.147,175.014,142839,4,76,phonk brasileiro,200102,calm
open.spotify.com/track/5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,88,2020-03-20,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,98,canadian contemporary r&b,62165751,energetic
open.spotify.com/track/3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,88,2022-12-15,0.735,0.449,2.0,-9.933,0.0,0.383,0.859,0.0,0.213,0.514,146.016,175890,4,82,melodic drill,2799063,calm
open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,87,2002-05-26,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4,92,detroit hip hop,68427443,happy
open.spotify.com/track/3Zyk5Vd9WNPNVWxvb0EZTk,X SI VOLVEMOS,KAROL G,87,2023-02-03,0.793,0.78,1.0,-4.247,0.0,0.249,0.341,0.0,0.111,0.576,178.046,203360,4,93,reggaeton,33856064,energetic
